DATE,SMART-GNHLS,,,SMSTPEAV01,,,SMSTPCEB01,,,SMSTPGHL02,,,SMSTPEAV02,,,SMSTPCEB02,,,
,Originating,Terminating,Total,Originating,Terminating,Total,Originating,Terminating,Total,Originating,Terminating,Total,Originating,Terminating,Total,Originating,Terminating,Total
12/01/2022,3202497,1910782,5113279,1700458,1564642,3265100,3104531,8982862,12087393,1925435,2256716,4182151,1807182,1737145,3544327,415350,0,415350
12/02/2022,3176786,1832650,5009436,1708433,1500508,3208941,3360225,8710681,12070906,1905574,2168483,4074057,1790670,1668242,3458912,447534,0,447534
12/03/2022,2630874,1612585,4243459,1384842,1320004,2704846,2491665,7778791,10270456,1581135,1905025,3486160,1477075,1466049,2943124,345199,0,345199
12/04/2022,1313857,1706778,3020635,681631,1396451,2078082,1364577,8371610,9736187,788195,2019356,2807551,723924,1552513,2276437,183861,0,183861
12/05/2022,3613572,1902901,5516473,1953088,1556161,3509249,3606162,8967310,12573472,2163330,2245934,4409264,2060684,1729373,3790057,485796,0,485796
12/06/2022,3327861,1894198,5222059,2780153,1548164,4328317,3374880,9126230,12501110,3553663,2234215,5787878,1783037,1720237,3503274,5711,0,5711
12/07/2022,3522255,1899987,5422242,2954652,1556762,4511414,3632697,9081014,12713711,3760606,2248363,6008969,1881254,1733817,3615071,0,0,0
12/08/2022,1797681,1797477,3595158,1474479,1472461,2946940,1811954,8591698,10403652,1917516,2125209,4042725,913458,1635638,2549096,0,0,0
12/09/2022,3024683,1898056,4922739,2516481,1553080,4069561,3237530,9039808,12277338,3206736,2243051,5449787,1574563,1722557,3297120,0,0,0
12/10/2022,2456479,1750973,4207452,2031723,1432966,3464689,2652202,8364101,11016303,2616739,2069717,4686456,1252579,1592439,2845018,0,0,0
12/11/2022,2311573,1575662,3887235,1940672,1289923,3230595,2343669,7620526,9964195,2466368,1863472,4329840,1248612,1434439,2683051,0,0,0
12/12/2022,2740077,1774987,4515064,2279159,1450283,3729442,2820634,8453473,11274107,2927283,2100429,5027712,1430512,1614886,3045398,0,0,0
12/13/2022,3038287,1766858,4805145,2531951,1443654,3975605,3331277,8404657,11735934,3214163,2084624,5298787,1577430,1607820,3185250,0,0,0
12/14/2022,2975747,1875812,4851559,2473763,1535015,4008778,3430801,9054140,12484941,3124217,2218720,5342937,1517636,1707013,3224649,0,0,0
12/15/2022,3531581,1940412,5471993,2938408,1587988,4526396,3799026,9231773,13030799,3751717,2298031,6049748,1838115,1764108,3602223,0,0,0
12/16/2022,3969873,2156319,6126192,2755185,1580987,4336172,2546203,8457995,11004198,3787442,1774188,5561630,2113391,1984796,4098187,0,0,0
12/17/2022,1903288,1998325,3901613,1271315,1331436,2602751,4539464,8149786,12689250,1783968,1335974,3119942,1197344,2001438,3198782,0,0,0
12/18/2022,1720596,1727642,3448238,1130645,1086864,2217509,3900196,8545338,12445534,1630220,1087084,2717304,1109640,1861030,2970670,0,0,0
12/19/2022,2559916,1735467,4295383,1691092,1105312,2796404,5064874,9294622,14359496,2411823,1105360,3517183,1625433,1894688,3520121,0,0,0
12/20/2022,2945124,2038433,4983557,2012033,1376719,3388752,5705498,9198319,14903817,2547394,1190561,3737955,1724548,1977756,3702304,0,0,0
12/21/2022,2498828,1825311,4324139,2206249,1473709,3679958,5284705,8739915,14024620,2744426,2037022,4781448,1465870,1655564,3121434,0,0,0
12/22/2022,1904786,1798944,3703730,1717262,1474236,3191498,4568194,8631271,13199465,2183548,2126987,4310535,1141370,1633941,2775311,0,0,0
12/23/2022,2334580,1809156,4143736,2115623,1480767,3596390,5547707,8669360,14217067,2699652,2136147,4835799,1402896,1642533,3045429,0,0,0
12/24/2022,2185630,1743628,3929258,1968493,1426329,3394822,5619227,8343423,13962650,2503474,2059102,4562576,1312823,1580978,2893801,0,0,0
12/25/2022,1501445,1436730,2938175,1346305,1172916,2519221,2899565,6909657,9809222,1726373,1697268,3423641,910202,1307111,2217313,0,0,0
12/26/2022,1713294,1690873,3404167,1537104,1384646,2921750,3512598,8117489,11630087,1948227,1995220,3943447,1026707,1534738,2561445,0,0,0
12/27/2022,2089892,1892684,3982576,1882170,1551094,3433264,4609202,9265109,13874311,2399544,2237203,4636747,1255041,1724191,2979232,0,0,0
12/28/2022,2401180,1737812,4138992,2193850,1424401,3618251,6474211,8333895,14808106,2830935,2053689,4884624,1459211,1581704,3040915,0,0,0
12/29/2022,2282485,1897514,4179999,2058257,1554280,3612537,5003727,9228700,14232427,2615711,2241067,4856778,1365531,1725189,3090720,0,0,0
12/30/2022,2616717,1905039,4521756,2362226,1557719,3919945,5803821,9130720,14934541,3017169,2247532,5264701,1577948,1731590,3309538,0,0,0
12/31/2022,1268816,1826928,3095744,1151856,1495744,2647600,2992387,8767515,11759902,1465734,2157420,3623154,761165,1662343,2423508,0,0,0
