_time,VMIGWAPD01,VMIGWAPD02,VMIGWAPD03
2022-03-20T00:00:00.000+0800,55,55,48
2022-03-20T00:01:00.000+0800,48,42,42
2022-03-20T00:02:00.000+0800,42,33,33
2022-03-20T00:03:00.000+0800,33,29,29
2022-03-20T00:04:00.000+0800,30,30,30
2022-03-20T00:05:00.000+0800,,28,28
2022-03-20T00:06:00.000+0800,28,28,28
2022-03-20T00:07:00.000+0800,28,26,26
2022-03-20T00:08:00.000+0800,26,27,27
2022-03-20T00:09:00.000+0800,27,28,28
2022-03-20T00:10:00.000+0800,28,53,53
2022-03-20T00:11:00.000+0800,53,24,24
2022-03-20T00:12:00.000+0800,26,26,26
2022-03-20T00:13:00.000+0800,,25,25
2022-03-20T00:14:00.000+0800,28,28,28
2022-03-20T00:15:00.000+0800,,25,25
2022-03-20T00:16:00.000+0800,25,27,27
2022-03-20T00:17:00.000+0800,27,25,25
2022-03-20T00:18:00.000+0800,25,26,26
2022-03-20T00:19:00.000+0800,26,23,23
2022-03-20T00:20:00.000+0800,23,47,47
2022-03-20T00:21:00.000+0800,47,24,24
2022-03-20T00:22:00.000+0800,24,27,27
2022-03-20T00:23:00.000+0800,27,23,23
2022-03-20T00:24:00.000+0800,23,24,24
2022-03-20T00:25:00.000+0800,24,23,23
2022-03-20T00:26:00.000+0800,23,24,24
2022-03-20T00:27:00.000+0800,24,22,22
2022-03-20T00:28:00.000+0800,22,24,24
2022-03-20T00:29:00.000+0800,24,21,21
2022-03-20T00:30:00.000+0800,21,46,46
2022-03-20T00:31:00.000+0800,46,31,31
2022-03-20T00:32:00.000+0800,31,32,32
2022-03-20T00:33:00.000+0800,32,21,21
2022-03-20T00:34:00.000+0800,21,21,21
2022-03-20T00:35:00.000+0800,21,21,21
2022-03-20T00:36:00.000+0800,,20,20
2022-03-20T00:37:00.000+0800,20,19,19
2022-03-20T00:38:00.000+0800,19,18,18
2022-03-20T00:39:00.000+0800,18,18,18
2022-03-20T00:40:00.000+0800,18,35,35
2022-03-20T00:41:00.000+0800,35,18,17
2022-03-20T00:42:00.000+0800,17,17,17
2022-03-20T00:43:00.000+0800,17,18,18
2022-03-20T00:44:00.000+0800,18,17,17
2022-03-20T00:45:00.000+0800,17,19,19
2022-03-20T00:46:00.000+0800,19,18,18
2022-03-20T00:47:00.000+0800,18,18,18
2022-03-20T00:48:00.000+0800,18,18,19
2022-03-20T00:49:00.000+0800,19,20,20
2022-03-20T00:50:00.000+0800,20,34,34
2022-03-20T00:51:00.000+0800,34,17,17
2022-03-20T00:52:00.000+0800,17,17,17
2022-03-20T00:53:00.000+0800,17,16,16
2022-03-20T00:54:00.000+0800,14,14,14
2022-03-20T00:55:00.000+0800,16,16,16
2022-03-20T00:56:00.000+0800,15,16,15
2022-03-20T00:57:00.000+0800,15,15,15
2022-03-20T00:58:00.000+0800,15,15,15
2022-03-20T00:59:00.000+0800,40,40,40
2022-03-20T01:00:00.000+0800,26,26,26
2022-03-20T01:01:00.000+0800,27,27,27
2022-03-20T01:02:00.000+0800,19,19,19
2022-03-20T01:03:00.000+0800,18,18,18
2022-03-20T01:04:00.000+0800,17,17,17
2022-03-20T01:05:00.000+0800,17,17,17
2022-03-20T01:06:00.000+0800,16,16,16
2022-03-20T01:07:00.000+0800,17,17,17
2022-03-20T01:08:00.000+0800,17,,17
2022-03-20T01:09:00.000+0800,21,,
2022-03-20T01:10:00.000+0800,38,38,38
2022-03-20T01:11:00.000+0800,20,21,21
2022-03-20T01:12:00.000+0800,18,18,18
2022-03-20T01:13:00.000+0800,20,20,20
2022-03-20T01:14:00.000+0800,14,14,14
2022-03-20T01:15:00.000+0800,19,19,19
2022-03-20T01:16:00.000+0800,16,16,16
2022-03-20T01:17:00.000+0800,,16,16
2022-03-20T01:18:00.000+0800,16,16,16
2022-03-20T01:19:00.000+0800,16,16,16
2022-03-20T01:20:00.000+0800,28,28,28
2022-03-20T01:21:00.000+0800,15,15,15
2022-03-20T01:22:00.000+0800,15,15,15
2022-03-20T01:23:00.000+0800,,16,16
2022-03-20T01:24:00.000+0800,16,14,14
2022-03-20T01:25:00.000+0800,14,16,16
2022-03-20T01:26:00.000+0800,16,14,14
2022-03-20T01:27:00.000+0800,14,14,14
2022-03-20T01:28:00.000+0800,14,15,15
2022-03-20T01:29:00.000+0800,15,15,15
2022-03-20T01:30:00.000+0800,15,32,32
2022-03-20T01:31:00.000+0800,32,24,24
2022-03-20T01:32:00.000+0800,,24,24
2022-03-20T01:33:00.000+0800,24,16,16
2022-03-20T01:34:00.000+0800,16,15,15
2022-03-20T01:35:00.000+0800,15,14,14
2022-03-20T01:36:00.000+0800,14,13,13
2022-03-20T01:37:00.000+0800,13,13,13
2022-03-20T01:38:00.000+0800,13,14,14
2022-03-20T01:39:00.000+0800,14,13,13
2022-03-20T01:40:00.000+0800,13,23,23
2022-03-20T01:41:00.000+0800,23,12,12
2022-03-20T01:42:00.000+0800,12,13,13
2022-03-20T01:43:00.000+0800,13,11,11
2022-03-20T01:44:00.000+0800,11,12,12
2022-03-20T01:45:00.000+0800,12,11,11
2022-03-20T01:46:00.000+0800,11,11,11
2022-03-20T01:47:00.000+0800,11,11,11
2022-03-20T01:48:00.000+0800,11,11,11
2022-03-20T01:49:00.000+0800,11,11,11
2022-03-20T01:50:00.000+0800,11,21,21
2022-03-20T01:51:00.000+0800,21,11,11
2022-03-20T01:52:00.000+0800,11,11,11
2022-03-20T01:53:00.000+0800,11,11,11
2022-03-20T01:54:00.000+0800,11,11,11
2022-03-20T01:55:00.000+0800,12,12,12
2022-03-20T01:56:00.000+0800,12,12,12
2022-03-20T01:57:00.000+0800,12,12,12
2022-03-20T01:58:00.000+0800,11,11,11
2022-03-20T01:59:00.000+0800,28,28,28
2022-03-20T02:00:00.000+0800,21,21,21
2022-03-20T02:01:00.000+0800,20,20,20
2022-03-20T02:02:00.000+0800,9,9,9
2022-03-20T02:03:00.000+0800,7,7,7
2022-03-20T02:04:00.000+0800,10,10,10
2022-03-20T02:05:00.000+0800,16,16,16
2022-03-20T02:06:00.000+0800,10,10,10
2022-03-20T02:07:00.000+0800,11,11,11
2022-03-20T02:08:00.000+0800,11,11,11
2022-03-20T02:09:00.000+0800,11,11,11
2022-03-20T02:10:00.000+0800,21,21,21
2022-03-20T02:11:00.000+0800,10,10,10
2022-03-20T02:12:00.000+0800,11,11,11
2022-03-20T02:13:00.000+0800,10,10,10
2022-03-20T02:14:00.000+0800,11,11,11
2022-03-20T02:15:00.000+0800,9,9,9
2022-03-20T02:16:00.000+0800,11,11,11
2022-03-20T02:17:00.000+0800,9,9,9
2022-03-20T02:18:00.000+0800,10,10,10
2022-03-20T02:19:00.000+0800,10,10,10
2022-03-20T02:20:00.000+0800,18,18,18
2022-03-20T02:21:00.000+0800,10,10,10
2022-03-20T02:22:00.000+0800,11,11,11
2022-03-20T02:23:00.000+0800,9,9,9
2022-03-20T02:24:00.000+0800,10,10,10
2022-03-20T02:25:00.000+0800,10,10,10
2022-03-20T02:26:00.000+0800,10,10,10
2022-03-20T02:27:00.000+0800,9,9,9
2022-03-20T02:28:00.000+0800,11,11,11
2022-03-20T02:29:00.000+0800,10,10,10
2022-03-20T02:30:00.000+0800,26,26,26
2022-03-20T02:31:00.000+0800,20,20,20
2022-03-20T02:32:00.000+0800,20,20,20
2022-03-20T02:33:00.000+0800,8,9,8
2022-03-20T02:34:00.000+0800,9,9,9
2022-03-20T02:35:00.000+0800,9,9,9
2022-03-20T02:36:00.000+0800,9,9,9
2022-03-20T02:37:00.000+0800,8,8,8
2022-03-20T02:38:00.000+0800,9,9,9
2022-03-20T02:39:00.000+0800,8,8,8
2022-03-20T02:40:00.000+0800,16,16,16
2022-03-20T02:41:00.000+0800,7,7,7
2022-03-20T02:42:00.000+0800,8,8,8
2022-03-20T02:43:00.000+0800,8,8,8
2022-03-20T02:44:00.000+0800,8,8,8
2022-03-20T02:45:00.000+0800,9,9,9
2022-03-20T02:46:00.000+0800,10,10,10
2022-03-20T02:47:00.000+0800,10,10,10
2022-03-20T02:48:00.000+0800,8,8,8
2022-03-20T02:49:00.000+0800,9,9,9
2022-03-20T02:50:00.000+0800,15,15,15
2022-03-20T02:51:00.000+0800,9,9,9
2022-03-20T02:52:00.000+0800,8,8,8
2022-03-20T02:53:00.000+0800,8,8,8
2022-03-20T02:54:00.000+0800,8,8,8
2022-03-20T02:55:00.000+0800,9,9,9
2022-03-20T02:56:00.000+0800,8,8,8
2022-03-20T02:57:00.000+0800,9,9,9
2022-03-20T02:58:00.000+0800,8,8,8
2022-03-20T02:59:00.000+0800,24,24,24
2022-03-20T03:00:00.000+0800,18,18,18
2022-03-20T03:01:00.000+0800,19,19,19
2022-03-20T03:02:00.000+0800,8,8,8
2022-03-20T03:03:00.000+0800,8,8,8
2022-03-20T03:04:00.000+0800,7,7,7
2022-03-20T03:05:00.000+0800,9,9,9
2022-03-20T03:06:00.000+0800,9,9,9
2022-03-20T03:07:00.000+0800,8,8,8
2022-03-20T03:08:00.000+0800,8,8,8
2022-03-20T03:09:00.000+0800,8,8,8
2022-03-20T03:10:00.000+0800,15,15,15
2022-03-20T03:11:00.000+0800,8,8,8
2022-03-20T03:12:00.000+0800,7,7,7
2022-03-20T03:13:00.000+0800,8,8,8
2022-03-20T03:14:00.000+0800,7,7,7
2022-03-20T03:15:00.000+0800,8,8,8
2022-03-20T03:16:00.000+0800,9,9,9
2022-03-20T03:17:00.000+0800,8,8,8
2022-03-20T03:18:00.000+0800,8,8,8
2022-03-20T03:19:00.000+0800,8,8,8
2022-03-20T03:20:00.000+0800,15,15,15
2022-03-20T03:21:00.000+0800,8,7,7
2022-03-20T03:22:00.000+0800,8,8,8
2022-03-20T03:23:00.000+0800,8,8,8
2022-03-20T03:24:00.000+0800,8,8,8
